"name";"age";"author";"text";"reyt"
"Алия";"22";"Анонимный Дон";"Привет, свободна?";"5"
"Мирослава";"25";"Анонимный Дон";"Гадюшник у путепровода Паперника угол 4й Веш Кроме денег все вранье";"1"
"Мирослава";"25";"Анонимный Дон";"Привет кроха, ответь на комент.";"5"
"elena";"18";"Анонимный Дон";"Обязательно заеду попробую её";"5"
"Снежана";"24";"Анонимный Дон";"Порадуешь моего друга";"1"
"Киса";"32";"Анонимный Дон";"Фото реальные , хорошая девушка не игнорит , очень приветливо встретила чай , предложила . Очень хорошо провел время , обязательно вернусь";"5"
"Киса";"32";"Анонимный Дон";"Да хороша девчуля , миньет на отлично .";"5"
"Тамара";"23";"Анонимный Дон";"Лутшее конечно вряд ли а вот трахнуть без особых обязательств красотку можно! Что и произошло, не хотелось никаких игрищ вздохов ахов,лицизрения! Просто посадил ее на себя сверху, и по максимому получил для себя удовольствие! Аппанент особо не интересовал,в смысле,получения с ее стороны желаемого, тем более она уже получила и не мало....";"5"
"Тамара";"23";"Анонимный Дон";"это салон?";"4"
"Маша";"26";"Анонимный Дон";"Привет<br />";"5"
"Юля";"23";"Анонимный Дон";"Юленька, ты просто космос! Жди в гости снова!";"5"
"Юля";"23";"Анонимный Дон";"Диспетчер, адрес борделя, не поехал";"3"
"Юля";"23";"Анонимный Дон";"Привет, свободна? <br />";"5"
"Юля";"23";"Анонимный Дон";"Классная сучка";"5"
"Аманда";"20";"Анонимный Дон";"Сначала разводят на предоплату такси, потом морозят полтора часа, что девушка занята, и в итоге никто не приезжает. Жаль, что такие кидалы есть среди негритянок, из-за них и хорошим девушкам такси оплачивать не буду.";"1"
"Шакира";"20";"Анонимный Дон";"У вас есть телеграм? Напишите мне ник, буду договорить вас.";"5"
"Мия";"22";"Анонимный Дон";"Гостья из азии пылкая страстная аборигеночка! Умудряется влагалищем тянуть член как руками это прикольно, тем более я такого не ощущал никогда! Мышцы как у качка мощные! Доставила массу удовольствия! Большой плюс бабе которая так может делать......";"5"
"Любовь";"24";"Анонимный Дон";"Заочное 10 из 10. Посмотрим будет ли 11й бал за удивление)";"5"
"Татьяна";"23";"Анонимный Дон";"Лалул";"5"
"Алина";"22";"Анонимный Дон";"привет можна зака";"5"
"Валюша";"23";"Анонимный Дон";"Сидят на кутузовском";"1"
"Аделя";"22";"Анонимный Дон";"Приветик ангелочек напиши мне в личку в тг @Xzxzx88";"5"
"Оксана";"22";"Анонимный Дон";"Ахирено заехал мля! На товар и как на аукционе,рубиль дал за сиську тронул....еще дал....за вторую......дибилизм....конченый! Бабами как картошкой на рынке торговать по частям ну нах.....";"2"
"Наталья";"46";"Анонимный Дон";"Сосёт как шлюха<br />";"5"
"Наталья";"46";"Анонимный Дон";"Очень приятная  дама  сосет отпад , секс  расслабляет, массаж  делает на 5+будет время заскачу  ещё.";"5"
"Илиана";"29";"Анонимный Дон";"Худышечка! Обожаю ими жанглировать и трахать стоя! Легенькая как пушинка! Крутил и задом и передом,нанизывая на сучок! Все было отлично и как показалось....мне ей то же понравилось....что то новенькое!";"5"
"Сима";"19";"Анонимный Дон";"Встречались несколько раз. Фото соответствует 100%. Невероятно красива, возбуждает одним внешним видом. Процесс как со своей девушкой: развратная, страстная и нежная. Обязательно ещё буду заезжать";"5"
"Сима";"19";"Анонимный Дон";"Шикарная фигуристая малышка! Приезжал в командировку, заскочил к ней. Просто невероятная девочка, тело - высший класс! Уезжать не хотелось. Мои однозначные рекомендации!";"5"
"Сима";"19";"Анонимный Дон";"Хочу с ней встретиться";"5"
"Сима";"19";"Анонимный Дон";"Это салон?";"3"
"Сима";"19";"Анонимный Дон";"Очень клёвая девочка. Нежная и умелая. И поговорить по душам можно. В общем, редкость,после горячего секса просто лежали кайфовали";"5"
"Сима";"19";"Анонимный Дон";"Встреча была недавно.  Сказать, что был в шоке - ничего не сказать. Девочка огонь, минет действительно супер и очень атмосферно, за это отдельное спасибо";"5"
"Сима";"19";"Анонимный Дон";"Это было очень круто! Нереально красивая, позитивная девушка с бомбическим телом. Очень гостеприимная, умеет расположить к себе и создать комфортную обстановку.";"5"
"Света";"22";"Анонимный Дон";"Резвая шалунья,старается дать тока в жопу и без презерватива! Любую резинку считает за скафандр! Прикольно но стремно! Очко распахано оки токи.....Член чувствуется тока на входе.....дальше космос! Чтобы кончить надо активну постараться,или что бы сжать очко засунуть какую нить ее игрушку в мандень!";"3"
"Юна";"26";"Анонимный Дон";"Шлющка...очень любит публичность....жаль был один, а то бы снял все это действо на камеру! У нее есть даже набор масок для клиентов.....Насадил на крючок без особого интузиазма...но справедлмвости ради двигается очень эротично и грамотно насаживается на член.....";"4"
"Юна";"26";"Анонимный Дон";"Привет,красотка) Фото твои? или типаж?";"5"
"Рита";"21";"Анонимный Дон";"Норм";"3"
"Рита";"21";"Анонимный Дон";"Фейк?";"4"
"Даша";"24";"Анонимный Дон";"Пи...ш по поводу метро щукинская.";"1"
"Николь";"23";"Анонимный Дон";"Здесь сайт,половина подстава и предоплата.Лоховской";"1"
"Леся";"42";"Анонимный Дон";"Девчонка из порнушки!";"1"
"Лиана";"23";"Анонимный Дон";"Госпожа ты сможешь меня накормить?";"5"
"Лиана";"23";"Анонимный Дон";"Это салон?";"5"
"Маша";"21";"Анонимный Дон";"Ой ей, огонь формы 🔥";"5"
"Снежана";"22";"Анонимный Дон";"Баба в теме,понимающая,или делакт вид что понимает!На шутки реагирует,поддерживает разговор! Завела меня с ходу была в красивом белье и начала тереться промежностью о мою ногу.Причем с каким то кайфом! Потом растегнула брюки и заглотила по самые яйца член! Пока он медленно но уверенно вставал......встал он ролностью тока на &quot;свободе&quot; когда она его все таки выпустила! Подпрыгнула обхватила меня ногами....пришлось насадить ее на весу....благо не тяжелая.....ну а дальше игрища и разная всячина...ночь не скучал....";"5"
"Снежана";"22";"Анонимный Дон";"На фото бразильская порно модель джина валентина!!!! Анонимный дон кому вы байки пишите????";"1"
"Лариса";"25";"Анонимный Дон";"Хорошенькая куколка! Посидели пообщались, Чай кофе легкий флирт. Секс нежный,я бы сказал ароматный.Понравилось все! Вздохи прикосновения,движения.Обнял с зади,ласкал груди,потом помаструбировал ей клитор! Красивая возбуждающая реакция со стонами и вздохами! Пусть и наиграно,зато роль отыграна я доволен....";"5"
"СВЕТА";"24";"Анонимный Дон";"Фото фейк";"1"
"СВЕТА";"24";"Анонимный Дон";"Чужие фото использует.";"1"
"СВЕТА";"24";"Анонимный Дон";"Фото чужие. Страпон был прекрасен. Между шикарными грудями подрочить удалось. Светик спасибо за анальный секс";"5"
"Татьяна";"46";"Анонимный Дон";"Привет щас можно заехать";"5"
"Ирина";"28";"Анонимный Дон";"Привет, ты также худенькая как на фото?";"5"
"ЯНА";"23";"Анонимный Дон";"Ставлю за красоту.5небыл .если ты реальная ,то приеду!отпишись";"5"
"ЯНА";"23";"Анонимный Дон";"развод!";"1"
"Оля";"27";"Анонимный Дон";"Красавица в моем вкусе, позвоню и наверно влюблюсь после встречи с тобой, на Ярославке живу";"5"
"наташа";"19";"Анонимный Дон";"К вам можно сегодня попасть?";"1"
"наташа";"19";"Анонимный Дон";"Работаешь?";"5"
"Александра";"24";"Анонимный Дон";"Секс понравился. Общение было приятным. Милая девушка.";"5"
"Мария";"24";"Анонимный Дон";"Привет, еще работаешь? Актуально?)";"3"
"Влада";"22";"Анонимный Дон";"А тебя не смутит , если я тебя приглашу , но мне будет 18 лет ?";"4"
"Влада";"22";"Анонимный Дон";"С. Г реально 1 к стоит и как оплата происходит ?";"5"
"Аня";"27";"Анонимный Дон";"Приветик ангелочек напиши мне в личку в тг @Xzxzx88";"5"
"Аня";"27";"Анонимный Дон";"Хочу";"1"
"Аня";"27";"Анонимный Дон";"Я тут не долеко от Вегаса,куда подъехать?";"5"
"🥰Алла🥰";"27";"Анонимный Дон";"Очень ухоженная, приятная во всех отношениях Дама. Процесс и встреча просто супер, как будто только меня и ждала. Отдается с душой и желанием.";"5"
"Карина";"23";"Анонимный Дон";"Привет кроха";"5"
"Карина";"23";"Анонимный Дон";"Кто был??? Реальная девушка?";"2"
"Карина";"23";"Анонимный Дон";"Обьявление фэйковое...телефон какого то парня....какой мудак разместил???";"2"
"Ирина";"21";"Анонимный Дон";"На 3<br />";"3"
"Кристина";"46";"Анонимный Дон";"за так не буду езжай домой";"1"
"Алла";"32";"Анонимный Дон";"Привет? Работаеш хочу на пару часов можно заехать слатко потрахаю визде";"4"
"Алла";"32";"Анонимный Дон";"Интересно Есть такая?<br />";"2"
"София";"19";"Анонимный Дон";"Модняшка, а вы в курсе что Вас нет в ватсапе?)))";"5"
"Юля";"27";"Анонимный Дон";"Привет. Фото твое?";"5"
"Юля";"27";"Анонимный Дон";"привет! работаем?";"4"
"Юля";"27";"Анонимный Дон";"Груди у тебя просто шикарные и попа тоже!";"5"
"Юля";"27";"Анонимный Дон";"Юля, я хочу попробовать с тобой секс!";"5"
"Юля";"27";"Анонимный Дон";"Привет, встретиться можем.";"5"
"Софа";"23";"Анонимный Дон";"Фейк";"1"
"Таня";"23";"Анонимный Дон";"привет, научишь правильно доводить девушку до оргазма?";"5"
"Слава";"21";"Анонимный Дон";"Маленькая оторва! Заскочила мне на руки и давай целоваться.....обожает или боится.....хрен знает! Потом упали на кровать......заскочила мне на лицо своей дуней и реально в.....а   блин тока меня в рот.....Сначало не понял, а потом вроде понравилось.....в позе туда сюда довелись до финала.....";"5"
"Арина";"25";"Анонимный Дон";"Прожонная шалава! Бывалая ,такое впечатление что это я ничего не знаю и не умею. Осталось только отдаться в руки спеца,О чем и не пожалел все было по высшему разряду!";"5"
"Маша";"19";"Анонимный Дон";"Фото ворованные, удалите анкету.";"1"
"Маша";"19";"Анонимный Дон";"Это салон?";"3"
"Диана";"26";"Анонимный Дон";"Всем, привет, был вчера, все очень понравилось, и массаж, и минет и секс, рекомендую.";"5"
"Диана";"26";"Анонимный Дон";"Был сегодня, очень понравилось обстановка, две приятные девушки, красивые на мой вкус, всё очень прилично, комфортно. Если хочешь получить удовольствие - советую<br />
!";"5"
"Диана";"26";"Анонимный Дон";"Ты прелесть 👍";"5"
"Лера";"23";"Анонимный Дон";"секси! на выходных наберу!";"5"
"Лера";"23";"Анонимный Дон";"Ну что? Взял? Как она?";"5"
"Валентина";"23";"Анонимный Дон";"Валя,Валя,Валентина! Заигрывает замечательно,умудряется завести клиента с полоборота! Короче рулит тобой! А ты выполняешь все её желания! Хорошее качество....для любимой женщины но не для шлюхи мать ее!";"5"
"Ламия";"30";"Анонимный Дон";"Ламия просто супер. Лучше не бывает";"5"
"Маша";"25";"Анонимный Дон";"Такой девки нет там объявление фейк. Цена по приезду растёт в 2 раза за все доп просят.<br />
Не чего не даёт трогать и тд";"1"
"Женя";"23";"Анонимный Дон";"Привет. Фото твои реально?";"5"
"Карина";"25";"Анонимный Дон";"Привет";"4"
"Карина";"25";"Анонимный Дон";"Телефон не доступен";"1"
"Марта";"22";"Анонимный Дон";"Привет красавица";"5"
"Вероника";"26";"Анонимный Дон";"Привет красотка";"5"
"Вероника";"26";"Анонимный Дон";"Хочу тебя очень сильно,моя нежная девочка! Хочу приехать к тебе и заняться с тобой нежным сексом и целовать все твое обнаженное тело! Хочу держать ладонь на твоей обнаженной спине!";"5"
"Мафтуна";"19";"Анонимный Дон";"Хреново не ходите к ней";"1"
"Мафтуна";"19";"Анонимный Дон";"Почему не ходить? Что те так?";"5"
"Рената";"19";"Анонимный Дон";"Для меня теперь ты королева минета) Классно провели время, встретимся скоро ещё раз";"5"
"Рената";"19";"Анонимный Дон";"Лучшая просто. Кайфанул не по-детски. Буду заходить ещё";"5"
"Рената";"19";"Анонимный Дон";"Так глубоко ещё никто не брал";"5"
"Света";"24";"Анонимный Дон";"Если честно снял шалаву исключительно из за ебальничка....очень смахивает на лицо с рекламы краски для волос....Фигурка так себе.... но ебется тварь как заведеная не остановишь приходилось даже шлепать по жопе чтобы тормознула на время.....а вооще в целом удачный трах достойный.....поскриптум: а волосы действительно шикарные и шелковистые!";"5"
"Виктория";"25";"Анонимный Дон";"Привет";"5"
"Лаура";"25";"Анонимный Дон";"Вы ещё работаете?";"1"
"Лаура";"25";"Анонимный Дон";"Салон ?";"1"
"Лаура";"25";"Анонимный Дон";"Привет, работаешь?";"1"
"Лаура";"25";"Анонимный Дон";"Добрый день, а подружка есть на этом сайте.";"5"
"Лаура";"25";"Анонимный Дон";"Позвонил,трубку взяла и молчит,я ей &quot;алё,алё&quot;,она трубку бросила. Думаю фейк(((.";"1"
"Натали";"22";"Анонимный Дон";"ЖМЖ сколько стоит ?";"4"
"Натали";"22";"Анонимный Дон";"Выезд?";"5"
"Натали";"22";"Анонимный Дон";"Оплата как происходит ? После работы или когда приедешь наличкой наруки ?";"5"
"Натали";"22";"Анонимный Дон";"Твоя подруга удалила акк, ты одна осталась получается?";"4"
"Натали";"22";"Анонимный Дон";"А почему она его удалила то ? Потому что рассекретили ее ?";"5"
"Натали";"22";"Анонимный Дон";"А с 18 лет принимаешь ?";"5"
"Натали";"22";"Анонимный Дон";"Теперь вы вместе не можете приехать ?";"5"
"Натали";"22";"Анонимный Дон";"Это фейк. Ее инста rup_yana";"5"
"Натали";"22";"Анонимный Дон";"Приезжай камне в гости";"5"
"🥰Адель🥰";"23";"Анонимный Дон";"Очаровательная, сексуальная и роскошная! Тепло встречает, как родного! С порога цепляет своей красотой! Фигура стройная, спортивная! В процессе грациозная и страстная! Вся встреча была изящной!";"5"
"🥰Адель🥰";"23";"Анонимный Дон";"Все очень понравилось.";"5"
"🥰Адель🥰";"23";"Анонимный Дон";"Милая, красивая и привлекательная! Форма сочная, грудь прекрасна, руки невозможно оторвать, приятная на ощупь!";"5"
"🥰Адель🥰";"23";"Анонимный Дон";"Девочка просто огонь, старательная, красивая, похоже сама получает удовольствие. Предложила групповушку с подругой, которая тоже очень привлекательна. Я не устоял.";"5"
"🥰Адель🥰";"23";"Анонимный Дон";"Последний отзыв и обновление анкеты в 2021 году. Анкета активна?";"5"
"карина без предоплаты!!!";"26";"Анонимный Дон";"Описание не верное, МБР овр доп услуги";"1"
"Света";"23";"Анонимный Дон";"Работаешь?";"1"
"Света";"23";"Анонимный Дон";"Это порно актриса";"1"
"Катя";"28";"Анонимный Дон";"Привет сладкая. В выходные свободна?";"5"
"Аля";"21";"Анонимный Дон";"Всё прошло отлично! Довольно страстная, игривая, намеки и просьбы в процессе исполнены. В общем, очень приятное впечатление!";"5"
"Жaннa";"21";"Анонимный Дон";"Ужастная приятность!Недумал никогда что вылизывание  ануса женщиной так приятны….<br />";"5"
"Елена";"21";"Анонимный Дон";"Отвечает оператор,<br />
Салон на кутузовском";"3"
"Лана.МАША.КАТЯ";"27";"Анонимный Дон";"Кто был, миф или реальность?";"5"
"Лана.МАША.КАТЯ";"27";"Анонимный Дон";"Беспонтовый салон";"1"
"Лана.МАША.КАТЯ";"27";"Анонимный Дон";"Жаль.. Хотел встретиться";"3"
"Лариса";"25";"Анонимный Дон";"Высший класс просто VIP персона Гонор классно срезал поставив на колени,и засодил своего коня в ротяру на полную катушку,даже подавилась сучка...смолчала...работа млять! А потом рачком отхерачил красиво! Проститутка она и в Африке проститутка.......";"5"
"Лола";"30";"Анонимный Дон";"Обман там совсем не та что на фото";"1"
"Зара";"27";"Анонимный Дон";"Привет. Работаешь?";"5"
"Зара";"27";"Анонимный Дон";"Привет работаешь?";"5"
"😘Кира😘";"21";"Анонимный Дон";"Охуительная (иначе не скажешь), просто фантастика.Спасибо за встречу,рекомендую)";"5"
"😘Кира😘";"21";"Анонимный Дон";"Был вчера. Умелая и красивая) можно влюбиться. Спасибо за воду)";"5"
"😘Кира😘";"21";"Анонимный Дон";"Красивая слов нет но секс не айс оценка два.";"1"
"😘Кира😘";"21";"Анонимный Дон";"Офигенная девушка, сегодня я был одним из первых после ее отпуска и получил отличный заряд на новую рабочую неделю)";"5"
"😘Кира😘";"21";"Анонимный Дон";"В очередной раз посетил эту Божественную малышку))Всё как всегда было на высоте трахается как в последний раз";"5"
"😘Кира😘";"21";"Анонимный Дон";"Спортивная стройняжка. Еще краше чем на фото. Очень понравилась. Квартира тоже на уровне.";"5"
"😘Кира😘";"21";"Анонимный Дон";"Нормальная такая,чето я ленивый стал,вот бы приехала б сама ,яб переплатили.живу на каширке.м.налоело искать их по всей москве.ьуду домой приглашать";"4"
"😘Кира😘";"21";"Анонимный Дон";"Отдохнул и душой и телом! Смешно конечно читать о том, кто сколько стоит🤔 девочка класс и отдых хорош";"5"
"Лера";"33";"Анонимный Дон";"Очень доволен данной встречей, приятное общение, отличный секс, все было на высшем уровне, рекомендую к посещению, с прошедшим праздником дорогая Валерия)";"5"
"Карина";"27";"Анонимный Дон";"Очень страстная девушка с аккуратной красивой писей, пошло прикрытой темными волосиками. Здорово кувыркается. Берите, не пожалеете";"5"
"Юля";"18";"Анонимный Дон";"Ты где📍❓";"1"
"Юля";"26";"Анонимный Дон";"Грамотная хуесосочка! Умудряется сосать держать мой член кулачком...да еше теребить себя пиздятинку.....получает удовольствие наверно да и хрен с ней...главное что я получаю а на остальных насеренить....";"5"
"Лиза";"26";"Анонимный Дон";"Это обман здесь такой девушке нет это провакация";"1"
"Джамиля";"21";"Анонимный Дон";"Привет";"5"
"Инесса";"23";"Анонимный Дон";"Нет  таких девушки не рекомендую салон";"1"
"Виктория";"40";"Анонимный Дон";"Далеко уехала из кузьминак";"5"
"Виктория";"40";"Анонимный Дон";"Привет. Ан.2500 и МБР 1000 такая цена осталась? Заранее надо звонить?";"5"
"Виктория";"40";"Анонимный Дон";"Привет. ан.2500 и МБР 1000 такая цена осталась? Заранее надо звонить?";"5"
"АЛЛА";"40";"Анонимный Дон";"Прекрасная Женщина!!! Не был,но попробовать можно!";"4"
"Гуля";"23";"Анонимный Дон";"Анкета действительна?";"5"
"Дженифер";"23";"Анонимный Дон";"Полное разводилово!(<br />
Женщина по телефону направила меня по адресу в Алтуфьево, где Джессики по факту не оказалось и других африканских жриц любви тоже не было. В итоге зря только ездил.";"1"
"Ирина";"59";"Анонимный Дон";"Добрый день. У вас есть выезд?";"5"
"Ирина";"59";"Анонимный Дон";"реальная, старается и все заявленные услуги в наличии ?";"1"
"Анита";"18";"Анонимный Дон";"Кто был?<br />
Реальная?<br />
Не подстава?";"5"
"Ульяна";"25";"Анонимный Дон";"Привет крошка ответ на комент";"5"
"Ульяна";"25";"Анонимный Дон";"У вас есть телеграм? Напишите мне ник, буду договорить вас.";"5"
"Ульяна";"25";"Анонимный Дон";"полное наебалово одни негритянки";"1"
"Мария";"26";"Анонимный Дон";"Был у этой девочки на днях. На фото она. Ласковая, приятная, стройная, тело красивое. Не пьет и не курит, что по мне очень замечательно. Секс любит, минет хорошо делает. Остался доволен, приду ещё.";"5"
"Мария";"26";"Анонимный Дон";"Классная девочка, только от нее под впечатлением. Секс офигительный, разнообразные позы, активная, страстная, приветливая, чистенькая. 😍😍🥰🥰🥰🥰";"5"
"Мария";"26";"Анонимный Дон";"Был вчера у облодательнице этой пекрастной анкеты)<br />
Списался по WotsApp, оперативно ответила, <br />
Фото все ее, когда лицезреешь все намного лучьше, кожа бархотная , фигура спортивная, <br />
В сексе все четко, позы меняет все для вашего удовольствия, особо отмечу минет, глубоко и с огромной жадностью<br />
Внимательна к деталям<br />
Инди , апартоменты чисто ухоженно, приятно было находиться) <br />
Еще не раз посещу)";"5"
"Мария";"26";"Анонимный Дон";"Super  угашение на чай масаж все супер мастер 👍";"5"
"Мария";"26";"Анонимный Дон";"Всё честно, не салон, рекомендую! Это действительно она.";"5"
"Мария";"26";"Анонимный Дон";"Все было супер<br /><br />";"5"
"Мария";"26";"Анонимный Дон";"Вы в Митино?";"4"
"Богдана";"23";"Анонимный Дон";"А можем встретиться втроём-я, ты и твоя подружка би? Любой каприз, у тебя, на ночь";"5"
"💫Камила💫";"20";"Анонимный Дон";"Очень приятная во всех отношениях девочка!!! фигура обалденная. И в сексе профи! Оценка ОТЛИЧНО!<br />";"5"
"💫Камила💫";"20";"Анонимный Дон";"Как всегда все на высшем уровне! Спасибо тебе, дорогая!";"5"
"Ника";"24";"Анонимный Дон";"Прокуренная грязная квартира<br />
Наебывают по цене<br />
Не рекомендую";"1"
"Галина";"44";"Анонимный Дон";"Пишут Русские,  пришол а там сплош азия , грязно накурина какието мужки сидят накухне бухают вобщем не раслабился нормально , какбуто пришол дров налома и ушол , сервис ноль";"2"
"Алекса";"20";"Анонимный Дон";"Отличный секс, тугой анал. Глубокий минет в самое горлышко на 5+. Сказка, спасибо тебе!";"5"
"Камила";"27";"Анонимный Дон";"Новокосино 3000р";"1"
"Наташа";"23";"Анонимный Дон";"привет такая сексуальная когда можешь принять молодых  принимаешь?";"5"
"Наташа";"23";"Анонимный Дон";"На фото реально ты? Приеду к тебе если не ты отвернуть и уйду договорились?";"5"
"Наташа";"23";"Анонимный Дон";"Мне 20, поможешь лишиться девственности?<br />";"5"
"Наташа";"23";"Анонимный Дон";"Привет детка";"5"
"Наташа";"23";"Анонимный Дон";"Почему так дёшево?";"3"
"Наташа";"23";"Анонимный Дон";"На  квартире точно ты ?скинь фото на ватцап";"1"
"Наташа";"23";"Анонимный Дон";"Кончать внутрь можно?";"5"
"Кристина";"22";"Анонимный Дон";"А ты целуешься?";"5"
"Кристина";"22";"Анонимный Дон";"Позвонил, взяли трубку. По факту предлагают другую девушку.";"1"
"ВИКА";"22";"Анонимный Дон";"Привет. Мужчины какого возраста тебя интерисуют?";"4"
"ВИКА";"22";"Анонимный Дон";"Салон";"1"
"Лариса";"50";"Анонимный Дон";"Очень хочу посетить эту даму,но она не в Строгино...";"5"
"Кира";"27";"Анонимный Дон";"Жалко что выезда нет. Такую красоту не могу просто так отпустить. Если сама на Ярославку приедеш плачу за 2 часа 15 т. руб. Все по чесному. Позвоню";"5"
"Кира";"27";"Анонимный Дон";"Большой";"5"
"Кира";"27";"Анонимный Дон";"Здравствуйте";"5"
"Кира";"27";"Анонимный Дон";"Хороша";"5"
"Карина";"24";"Анонимный Дон";"Классная девушка! Очень приятный собеседник:) Один из лучших минетов из моих встреч. Крайне рекомендую)";"5"
"Мария";"24";"Анонимный Дон";"Это мошенники! Не ведитесь!";"1"
"Света";"28";"Анонимный Дон";"Хорошая. Работаешь?";"5"
"Света";"28";"Анонимный Дон";"Просто огонь 🔥 работаешь?";"5"
"Света";"28";"Анонимный Дон";"Не ведитесь там не она";"1"
"Нина";"37";"Анонимный Дон";"🤳";"5"
"Настя";"22";"Анонимный Дон";"5200 час?";"5"
"Лена";"23";"Анонимный Дон";"Связать тебе покрепче руки за спиной, привязать связанную к столбу на несколько часов, выпороть кнутом по сиськам, надев на них прищепки";"5"
"Тоня";"35";"Анонимный Дон";"В анал ебошится не хило";"5"
"Тоня";"35";"Анонимный Дон";"5 баллов";"5"
"Екатерина";"24";"Анонимный Дон";"Девочка что надо! Просто чумавая зажигалка с ней не соскучишься!";"5"
"Памела";"19";"Анонимный Дон";"Приветик ангелочек напиши мне в личку в тг @Xzxzx88";"5"
"Вероника";"28";"Анонимный Дон";"Там этой девочки нет , я уже не один раз приезжал по ее анкете по телефону говорят она на месте , а когда приезжаю ее резко не оказывается , лохотрон";"1"
"Настя";"19";"Анонимный Дон";"Фейк";"2"
